14260A|Qix|Qix||Puzzle-Game,Action,|2||Telegames|Taito|1991
14231A|Raiden|Raiden||Shoot'em Up,Action,|1||Fabtek|Atari|1997
14235A|Rampage|Rampage||Action,Beat'em Up,Platformer,|1||Atari|Midway|1991
14266A|Rampart|Rampart||Strategy,|2||Atari|Tengen Inc.|1991
141623|Raw|Raw|Basketbrawl|Demo,|||||
141595|Raycast Corridor|Raycast Corridor||Demo,|||||
141596|Remnant Planar Wars 3d|Remnant Planar Wars 3d||Shooter,Demo,|||||
58780A|Road Riot 4wd|Road Riot 4WD||Race, Driving,|1||Tengen Ltd|Never Published (Prototype)|1994
14259A|Roadblasters|RoadBlasters||Race, Driving,|1||Atari|Atari|1990
14278A|Robo-squash|Robo-Squash||Action,Sports,|2||Atari|Atari|1990
14247A|Robotron - 2084|Robotron : 2084||Shooter,|1||Shadowsoft|Williams Electronics|1991
14225A|Rygar|Rygar|Rygar - Legendary Warrior|Platform,Action,|1||Tecmo|Atari|1990
14236A|S.t.u.n. Runner|S.T.U.N. Runner||Race, Driving,|1||Tengen|Atari|1991
14228A|Scrapyard Dog|Scrapyard Dog||Adventure,|1||CSD|Atari|1991
14226A|Shadow Of The Beast|Shadow of the Beast||Beat'em Up,Action,|1||Reflections Interactive Limited|Psygnosis|1992
14261A|Shanghai|Shanghai||Board game,Strategy,|1|Coop|Atari|Atari|1990
141597|Show King Tut|Show King Tut||Demo,|||||
141598|Snakebyte|Snakebyte||Action,Arcade,|||||
141624|Sprite Ed|Sprite Ed||Demo,|||||
108862|Stardreamer|Stardreamer||Shooter,|1||||
141599|Stardreamer - Cutscene|Stardreamer - Cutscene||Shooter,|||||
14262A|Steel Talons|Steel Talons||Shoot'em Up,Simulation,|1||Tengen|Atari|1992
14279A|Super Asteroids And Missile Command|Super Asteroids & Missile Command||Compilation,|1||Atari|Atari|1995
14217A|Super Off Road|Super Off Road|Super Off-Road|Race, Driving,|4||Telegames|Telegames|1993
14280A|Super Skweek|Super Skweek||Strategy,|2||Loriciels|Atari|1991
14281A|Switchblade 2|SwitchBlade II||Platform,Action,|1||Gremlin|Gremlin|1992
122994|T-tris|T-tris|T-Tris (1996) by Bastian Schick|Puzzle,||||B. Schick|1996
122997|Tetris|Tetris|Lexis|Action,Puzzle,,|||||
14241A|Todd's Adventures In Slime World|Todd's Adventures in Slime World|Todd's Adventure in Slime World|Platform,Action,|8||Epyx|Atari|1992
14209A|Toki|Toki||Platform,Action,|1||Tad Corporation|Atari|1992
14282A|Tournament Cyberball 2072|Tournament Cyberball 2072||Strategy,Sports,|4||Atari|Atari|1991
14263A|Turbo Sub|Turbo Sub||Shoot'em Up,|2||Atari|Atari|1991
14237A|Viking Child|Viking Child||Adventure,|1||Imagitec Design|Atari|1991
14264A|Warbirds|Warbirds||Simulation,|4||Atari|Atari|1991
14265A|World Class Soccer|World Class Soccer||Sports,|2||Atari|Atari|1992
141601|Wuerfel 3|Wuerfel 3||Demo,|||||
14216A|Xenophobe|Xenophobe||Action,Shooter,|4||Atari|Atari|1990
14283A|Xybots|Xybots||Action,Shooter,|2|Coop|Atari|Atari|1991
14242A|Zarlor Mercenary|Zarlor Mercenary||Shoot'em Up,|4||Atari|Atari|1992
