154291|Escape From Monkey Island|Escape From Monkey Island||Point and Click,Adventure,|1||LucasArts|LucasArts|2000
99565A|Eye Of The Beholder|Eye Of The Beholder||Point and Click,Adventure,|1||Westwood Studios, Inc.|Strategic Simulations|1990
99566A|Eye Of The Beholder 2 - The Legend Of Darkmoon|Eye Of The Beholder 2 - The Legend Of Darkmoon||Point and Click,Adventure,|1||Westwood Studios, Inc.|Strategic Simulations|1991
100140|Fanmade Games|Fanmade Games||Point and Click,Adventure,|||||
99567A|Fascination|Fascination||Point and Click,Adventure,|1||Coktel Vision|Coktel Vision|
99577A|Fatty Bear's Birthday Surprise|Fatty Bear's Birthday Surprise||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|
99578A|Fatty Bear's Fun Pack|Fatty Bear's Fun Pack||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|
100007|Feeble Files, The|Feeble Files, The||Point and Click,Adventure,|||Adventure Soft Publishing Ltd.|Adventure Soft Publishing Ltd.|
101131|Freddi Fish 1 - The Case Of The Missing Kelp Seeds|Freddi Fish 1 - The Case Of The Missing Kelp Seeds||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|
101132|Freddi Fish 2 - The Case Of The Haunted Schoolhouse|Freddi Fish 2 - The Case Of The Haunted Schoolhouse||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|
101133|Freddi Fish 3 - The Case Of The Stolen Conch Shell|Freddi Fish 3 - The Case Of The Stolen Conch Shell||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|
101134|Freddi Fish 4 - The Case Of The Hogfish Rustlers Of Briny Gulch|Freddi Fish 4 - The Case Of The Hogfish Rustlers Of Briny Gulch||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|
99587A|Freddi Fish 5 - The Case Of The Creature Of Corral Cove|Freddi Fish 5 - The Case Of The Creature Of Corral Cove||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|
101307|Freddi Fish And Luther's Maze Madness|Freddi Fish And Luther's Maze Madness||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|
101308|Freddi Fish And Luther's Water Worries|Freddi Fish And Luther's Water Worries||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|
99592A|Freddy Pharkas - Frontier Pharmacist |Freddy Pharkas: Frontier Pharmacist||Point and Click,Adventure,|1||Sierra|Sierra|1993
;AAAAA|;||||||PIPE studio|1C Company|2003
155471|Full Pipe|Full Pipe||Adventure,|1||PIPE studio|1C Company|2003
99593A|Full Throttle|Full Throttle||Point and Click,Adventure,|1||LucasArts|LucasArts|1995
155472|Gabriel Knight - Sins Of The Fathers|Gabriel Knight - Sins Of The Fathers||Point and Click,Adventure,|1||Sierra On-Line|Sierra On-Line|1993
99600A|Geisha|Geisha||Point and Click,Adventure,|1||Coktel Vision|Tomahawk|
99605A|Gobliiins|Gobliiins||Point and Click,Adventure,|1||Coktel Vision|Coktel Vision|1992
100013|Gobliins 2 - The Prince Buffoon|Gobliins 2: The Prince Buffoon||Point and Click,Adventure,|1||Coktel Vision|Sierra|1992
100014|Goblin's Quest 3|Goblin's Quest 3||Point and Click,Adventure,|1||Coktel Vision|Sierra|1993
99629A|Gold Rush!|Gold Rush!||Point and Click,Adventure,|1||Sierra|Sierra|1988
102088|Green Eggs And Ham|Green Eggs And Ham||Point and Click,Adventure,|||Living Books|Brøderbund Software, Inc.|
101879|Gregory And The Hot Air Balloon|Gregory And The Hot Air Balloon||Point and Click,Adventure,|||Animation Magic, Inc.|Brøderbund Software, Inc.|
154258|Grim Fandango|Grim Fandango||Point and Click,Adventure,|1||LucasArts|LucasArts|1998
102089|Harry And The Haunted House|Harry And The Haunted House||Point and Click,Adventure,|||Living Books|Living Books|
99839A|Quest For Glory 1 - So You Want To Be A Hero|Hero's Quest||Point and Click,Adventure,|1||Sierra|Sierra|1989
100349|Hopkins Fbi|Hopkins Fbi||Point and Click,Adventure,|||MP Entertainment|MP Entertainment|
155480|Hoyle Classic Games/bridge/children's Collection/solitaire|Hoyle Classic Games/bridge/children's Collection/solitaire||Traditional,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1993
99634A|Hoyle's Classic Card Games|Hoyle's Classic Card Games||Point and Click,Adventure,|1||Sierra|Sierra|1997
99635A|Hoyle's Official Book Of Games - Volume 1|Hoyle's Official Book Of Games - Volume 1||Point and Click,Adventure,|1||Sierra|Sierra|1990
99637A|Hoyle's Official Book Of Games - Volume 2|Hoyle's Official Book Of Games - Volume 2||Playing cards,|1||Sierra|Sierra|1990
99639A|Hoyle's Official Book Of Games - Volume 3|Hoyle's Official Book Of Games - Volume 3||Board game,|1||Sierra|Sierra|1992
99641A|Hugo 1 - Hugo's House Of Horrors|Hugo 1 - Hugo's House Of Horrors||Point and Click,Adventure,|1||Gray Design Associates|Gray Design Associates|
99642A|Hugo 2 - Whodunit?|Hugo 2 - Whodunit?||Point and Click,Adventure,|1||Gray Design Associates|Gray Design Associates|
99643A|Hugo 3 - Jungle Of Doom|Hugo III: Jungle of Doom||Point and Click,Adventure,|1||Gray Design Associates|Gray Design Associates|
99645A|I Have No Mouth, And I Must Scream|I Have No Mouth, And I Must Scream||Point and Click,Adventure,|1||The Dreamers Guild|Cyberdreams|
99961A|Indiana Jones And The Last Crusade|Indiana Jones and the Last Crusade||Point and Click,Adventure,|1||Lucasfilm Games|Lucasfilm Games|1989
99647A|Indiana Jones And The Fate Of Atlantis|Indiana Jones and the Fate of Atlantis||Point and Click,Adventure,|1||LucasArts|LucasArts|1992
99661A|Inherit The Earth - Quest For The Orb|Inherit the Earth: Quest for the Orb||Point and Click,Adventure,|1||New World Computing|New World Computing|1994
155470|Inside The Chest/behind The Developers' Shield|Inside The Chest/behind The Developers' Shield||N/A,|1||Sierra|Sierra|1994
99913A|Island of Dr. Brain, The|Island of Dr. Brain, The||Point and Click,Adventure,|1||Sierra|Sierra|1992
99664A|Jones In The Fast Lane|Jones in the Fast Lane||Simulation,|1||Sierra|Sierra|1992
100483|Journeyman Project - Pegasus Prime, The|Journeyman Project - Pegasus Prime, The||Point and Click,Adventure,|||Presto Studios, Inc.|Bandai Digital Entertainment Corp.|
102090|Just Grandma And Me|Just Grandma And Me||Point and Click,Adventure,|||Living Books|Brøderbund Software, Inc.|
99671A|King's Quest 2 - Romancing The Throne|King's Quest II: Romancing the Throne||Point and Click,Adventure,|1||Sierra|Sierra|1985
99675A|King's Quest 3 - To Heir Is Human|King's Quest 3 - To Heir Is Human||Point and Click,Adventure,|2||Sierra|Sierra|1986
99678A|King's Quest 4 - The Perils Of Rosella|King's Quest IV: The Perils of Rosella||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1988
152395|King's Quest 7 - The Princeless Bride|King's Quest 7 - The Princeless Bride||Adventure,|||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1994
99666A|King's Quest I - Quest For The Crown|Roberta Williams' King's Quest I: Quest for the Crown||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1990
99669A|King's Quest I - Quest For The Crown|King's Quest I: Quest for the Crown||Point and Click,Adventure,|1||Sierra|Sierra|1990
99680A|King's Quest 4 - The Perils Of Rosella|King's Quest IV: The Perils of Rosella||Point and Click,Adventure,|1||Sierra|Sierra|1988
99684A|King's Quest 5 - Absence Makes The Heart Go Yonder!|King's Quest V: Absence Makes the Heart Go Yonder||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1990
99688A|King's Quest 6 - Heir Today, Gone Tomorrow|King's Quest VI: Heir Today, Gone Tomorrow||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1992
155481|King's Questions|King's Questions||Quiz,|||Sierra On-Line|Sierra On-Line|1994
99580A|Flight Of The Amazon Queen|Flight Of The Amazon Queen||Point and Click,Adventure,|1||Interactive Binary Illusions|Renegade Software|1995
100484|Labyrinth of Time, The|Labyrinth of Time, The||Point and Click,Adventure,|||Terra Nova Development|Electronic Arts, Inc.|1993
99689A|Lands Of Lore - The Throne Of Chaos|Lands Of Lore - The Throne Of Chaos||Point and Click,Adventure,|1||Westwood Studios, Inc.|Virgin Games, Ltd.|1993
99695A|Laura Bow - The Colonel's Bequest|Laura Bow - The Colonel's Bequest||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1989
99698A|Laura Bow In The Dagger Of Amon Ra|Laura Bow: The Dagger of Amon Ra||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1992
100016|Once Upon A Time - Little Red Riding Hood|Once Upon A Time: Little Red Riding Hood||Point and Click,Adventure,|||Coktel Vision|Coktel Vision|1991
