A-13- Mr. A Goes for a Block;0;Strategy
A-14- Mr. A Gets Lost;0;Strategy
A2 - The Ultimate Sequel to AUTS;0;Action
A320 Airbus- Edition Europa;0;Simulation
A320 Airbus- Edition USA;0;Simulation
A320 Airbus European Mission Disk;0;Simulation
A4 Racer;0;Action
AAARGH!;0;Action
Aardvark Attack;0;Action
Abadia del Crimen, La;0;Adventure
Abadia del Crimen, La Remake;0;Adventure
Abandoned Places- A Time for Heroes;0;Adventure
Abbey, The;0;Adventure
Abbie;0;Strategy
ABC Coloring;0;Educational
ABC;0;Educational
ABC Fun Keys;0;Educational
ABC Monday Night Football;0;Sports
ABC Paint;0;Educational
ABC'sE;0;Educational
ABC's For Toddlers;0;Educational
ABCs, The;0;Educational
ABC-Talk;0;Educational
ABC-TalkSW;0;Educational
ABC Wide World Of Sports Boxing;0;Action
Abdominal Emergencies;0;Educational
Abductor;0;Action
Abenteuer Atlantis;0;Adventure
Abenteuer des Federico, Die;0;Action
Abenteuer Europa;0;Adventure
Abenteuer im Wald;0;Adventure
Able Table;0;Educational
Abmis the Lion;0;Action
Abrams Battle Tank;0;Simulation
Absolute Pinball;0;Action
Absolute Zero;0;Action
Absorb;0;Strategy
Abura Tan;0;Adventure
Abura Tan v0.A11;0;Adventure
Abura Tan v0.A1;0;Adventure
Abuse;0;Action
Academy- Tau Ceti II;0;Action
Acalyphar3;0;Action
ACCEsinato;0;Adventure
Accordion Solitaire;0;Strategy
Accordion;0;Strategy
Ace 2;0;Simulation
ACE- Air Combat Emulator;0;Simulation
Ace of Aces;0;Action
Aces High- The True Air Duel Simulator;0;Action
ACE;0;Simulation
Aces of the Deep;0;Simulation
Aces of the Eno;0;Strategy
Aces of the Pacific Patch B;0;Simulation
Aces of the Pacific;0;Simulation
Aces of the Pacific vA.30;0;Simulation
Acesol - Aces-Up Solitaire;0;Strategy
Aces Over Cassovia 2048B;0;Action
Aces Over Europe;0;Action
Aces Over Europe Patch A;0;Action
Acey-Deucy;0;Strategy
Acey Duecey;0;Strategy
Acheton;0;Adventure
Achtung, Die Kurve;0;Strategy
ACiD Tetris;0;Action
Ack-Ack Attack!;0;Action
Ack! Man;0;Action
Acquire;0;Strategy
Acrobatic Flight Simulator;0;Simulation
Acrostix;0;Strategy
A.C. Roulette;0;Strategy
Action In The North Atlantic;0;Strategy
Action Service;0;Simulation
Action Soccer;0;Sports
Action Sports Soccer;0;Sports
Action Stations!;0;Strategy
Action SuperCross;0;Sports
Act of Fighter;0;Action
Acts of the Apostles;0;Educational
Actua Soccer- Semifinals;0;Sports
Actua Soccer;0;Sports
Adam- 21C Moon War Story;0;Strategy
Adam's Game;0;Action
Addams Family Print Galleryk;0;Educational
Add It!;0;Educational
Addition-Master;0;Educational
Addix;0;Strategy
Adentrator;0;Action
ADI 2college;0;Educational
ADI 2ecole;0;Educational
ADI 3eme;0;Educational
ADI 4eme;0;Educational
ADI 5eme;0;Educational
ADI 6eme;0;Educational
ADI bac;0;Educational
ADI ce1;0;Educational
ADI ce2;0;Educational
Adi;0;Educational
ADI English 12-13;0;Educational
Admirals Commanda;0;Strategy
Adskok;0;Action
Adult Film Cameraman;0;Simulation
Aduno;0;Strategy
Adv770;0;Adventure
Advanced Adventurers;0;Adventure
Advanced CivilizationB1;0;Strategy
Advanced Civilization Beta;0;Strategy
Advanced Civilization;0;Strategy
Advanced Destroyer Simulator;0;Simulation
Advanced DOS Quiz;0;Educational
Advanced Mastermind Games;0;Strategy
Advanced Math Shop;0;Educational
Advanced Netwars;0;Action
Advanced Robot War;0;Strategy
Advanced Rogue;0;Adventure
Advanced T-Robots;0;Strategy
Advanced Xoru;0;Adventure
Advantage Tennis;0;Sports
Adventure Math;0;Educational
Adventure of Tipi, The;0;Action
Adventure Quest IV - Strategy Games;0;Strategy
Adventures in Math;0;Educational
Adventures in Melgratta;0;Action
Adventures in the Old Testament;0;Educational
Adventures of Captain Comic Episode 1, The - Planet of Death;0;Action
Adventures of Captain Comic Episode 1, The - Planet of Death r2;0;Action
Adventures of Captain Comic Episode 1, The - Planet of Death r3;0;Action
Adventures of Captain Comic Episode 1, The - Planet of Death r4;0;Action
Adventures of Captain Comic Episode 1, The - Planet of Death r5;0;Action
Adventures Of Dianalee In The Lost temple Of The Aztecs, The;0;Action
Adventures of Ernie the Canary, The;0;Action
Adventures of SandDude, The;0;Action
Adventures of Snotrag, The;0;Action
Adventures of Tintin- Prisoners of the Sun, The;0;Action
Adventures of Vardit on the Chocolate Trail, The;0;Action
Adventures - The Mysterious Island, The;0;Action
Ad Verbum r11;0;Adventure
Ad Verbum r4;0;Adventure
ADVSYS - An Adventure Writing System;0;Adventure
Aeromathics;0;Educational
Aeronautics Quiz MK 2, The;0;Educational
Afghanistan;0;Strategy
African Adventure Or In Search of Dr. Livingston;0;Adventure
African Desert CampaignB;0;Strategy
African Trail Simulator;0;Action
Afrika;0;Strategy
After Burner II;0;Action
Aftermath of the Asimovian Disaster;0;Adventure
After the War;0;Action
Agafonov's Draughts Club;0;Strategy
A.G.E.;0;Action
Agent;0;Action
Agent Mlicnak;0;Adventure
Agent U.S.A.;0;Adventure
Age of Heroes;0;Adventure
Aggravation;0;Strategy
Aggression;0;Strategy
Agi-Gongnyong Dooly;0;Action
AGI Tetris;0;Action
Agravation;0;Strategy
Ahib el Mushman II- Building Troublei;0;Action
