37970A|Q*bert|Q*bert|Q-bert|Action,Arcade|2||D. Gottlieb & Co.|Parker Brothers|1983
37971A|Qix|QIX||Action,Puzzle|2||Taito|Atari|1982
37972A|Quest For Quintana Roo|Quest for Quintana Roo||Action,Adventure,|1||VSS, Inc.|Sunrise Software, Inc.|1984
37973A|Realsports Baseball|RealSports Baseball||Sports,Action,|2||Atari|Atari|1983
44453A|Realsports Basketball|RealSports Basketball||Sports,|2||Atari Inc.|Atari|1983
37974A|Realsports Football|RealSports Football||Sports,|2||Atari|Atari|1982
37975A|Realsports Soccer|RealSports Soccer||Sports,|2||Atari|Atari|1983
37976A|Realsports Tennis|RealSports Tennis||Sports,|2||Atari|Atari|1986
37977A|Rescue On Fractalus!|Rescue on Fractalus!|Rescue on Fractalus|Action,Aerial fighting|1||Lucasfilm Games LLC|Atari - Lucasfilm|1986
44454A|Road Runner|Road Runner|Roadrunner|Action,Puzzle,|1||Atari|Atari|1982
37979A|Robotron - 2084|Robotron 2084||Action,|2||Williams Electronic Games, Inc.|Atari|1983
37980A|Sinistar|Sinistar||Action,|2||Atari|AtariAge|1982
37981A|Space Dungeon|Space Dungeon||Action|2||Taito|Atari|1983
37982A|Space Invaders|Space Invaders||Action,Shooter|2||Taito|Atari|1982
37983A|Space Shuttle - A Journey Into Space|Space Shuttle : A Journey Into Space||Simulation,|1||Activision|Activision|1983
44455A|Spitfire|Spitfire||Shooter,|1||Atari Inc.|Atari|1984
44456A|Sport Goofy|Sport Goofy||Action,Sports,|2||Atari|Atari|1983
37984A|Star Raiders|Star Raiders||Action,Strategy,|1||Atari|Atari|1982
37985A|Star Trek - Strategic Operations Simulator|Star Trek : Strategic Operations Simulator||Action,Spaceship|1||Sega|Sega|1983
37987A|Star Wars - Return Of The Jedi - Death Star Battle|Star Wars : Return of the Jedi, Death Star Battle|Star Wars - ROTJ - Death Star Battle|Action,|2||Parker Brothers|Parker Brothers|1983
37986A|Star Wars|Star Wars : The Arcade Game|Star Wars - The Arcade Game|Action,Shooter|1||Atari|Parker Brothers|1984
44457A|Stargate|Stargate||Shooter,|2||Atari|Atari|1984
37988A|Super Breakout|Super Breakout||Action,Breakout|4||Atari|Atari|1982
37989A|Super Cobra|Super Cobra||Action,Shooter|2||Konami|Parker Brothers|1983
44458A|Super Pac-man|Super Pac-Man||Arcade,|2||Atari Inc.|Atari|1982
44459A|Tempest|Tempest||,Shooter||||Atari|1983
37915A|Activision Decathlon, The|The Activision Decathlon||Sports,|4||Activision|Activision|1983
37936A|Dreadnaught Factor, The|The Dreadnaught Factor||Action,Shooter|1||Cheshire Engineering|Activision|1983
44447A|Last Starfighter, The|The Last Starfighter||Simulation,|1||Atari|Atari|1984
44460A|Track And Field|Track and Field||Arcade,|4||Atari Inc.|Atari|1984
37990A|Vanguard|Vanguard||Action,Shooter|2||SNK|Atari|1983
37991A|Wizard Of Wor|Wizard of Wor||Action|2||Bally Midway|CBS Electronics|1983
44461A|Xari Arena|Xari Arena||Action,Breakout|2||Atari|Atari|1983
44462A|Xevious|Xevious||Shooter,|2||Atari|Atari|1984
44463A|Yellow Submarine|Yellow Submarine|Yellow Submarine Demo|Action,|1||Atari|Atari|1982
37992A|Zaxxon|Zaxxon||Action,Shooter|2||Sega|Sega|1984
37993A|Zenji|Zenji||Action,Strategy,|2||Activision|Activision|1984
37994A|Zone Ranger|Zone Ranger||Action,Shooter|2||Activision|Activision|1984
