150965|16-in-1 Super Card|16-in-1 Super Card||,Compilation|||||
59746A|Attack Of The Killer Tomatoes|Attack of the Killer Tomatoes||Action,Platform|1||Imagineering Inc.|THQ Inc.|1991
3359AA|Avenging Spirit|Avenging Spirit||Action,Platform|1||C.P. Brain|Jaleco USA, Inc.|1992
59747A|Ayakashi No Shiro|Ayakashi no Shiro||,RPG|||SETA Corporation|SETA Corporation|1990
59722A|Baby T-rex|Baby T-Rex||Action,Platform|2||Beam Software Pty., Ltd.|Laser Beam Entertainment Pty. Ltd.|1993
65200A|Bakenou Tv '94|Bakenou TV '94||,Bets|||Graphic Research|Asmik Ace Entertainment, Inc.|1994
65201A|Bakenou V3|Bakenou V3||Sports,|||Graphic Research|Asmik Ace Entertainment, Inc.|1993
65202A|Bakuchou Retrieve Master|Bakuchou Retrieve Master||Role-Playing,|||TOSE|Konami|1998
65203A|Bakuchou Retsuden Shou - Hyper Fishing|Bakuchou Retsuden Shou - Hyper Fishing|||||Starfish|Starfish|1998
3321AA|Balloon Kid|Balloon Kid||Action,Arcade|2||Nintendo Co., Ltd.|Nintendo of America Inc.|1990
155539|Balloon Man|Balloon Man|Balloon Kid|,Arcade|1||||2007
65204A|Banishing Racer|Banishing Racer||Action,Platform|1||Jaleco Entertainment|Jaleco Entertainment|1991
3523AA|Barbie|Barbie|Bamse|Platform,Action,|1||Imagineering Inc.|Hi-Tech Expressions, Inc.|1992
3170AA|Bart Simpson's Escape From Camp Deadly|Bart Simpson's Escape from Camp Deadly||Action,|1||Imagineering Inc.|Acclaim Entertainment, Inc.|1991
3527AA|Baseball|Baseball||Sports,|2||Nintendo R&D1|Nintendo of America Inc.|1989
65205A|Baseball Kids|Bases Loaded for Game Boy||Sports,|2||TOSE|Jaleco Entertainment|1990
65206A|Bass Fishing Tatsujin Techou|Bass Fishing Tatsujin Techou||Sports,|||Starfish|Starfish|1996
70328A|Schiffe Versenken|Schiffe Versenken||Strategy,|1||Tavex|Fantastic.TV|1998
176636|Batman - The Video Game|Batman - The Video Game|||||||
3176AA|Batman - Return Of The Joker|Batman : Return of the Joker||Action|1||Sunsoft|Sunsoft|1992
3218AA|Batman - The Animated Series|Batman : The Animated Series||Adventure,|1||Konami|Konami|1993
3035AA|Batman - The Video Game|Batman : The Video Game||Platform,|1||Sunsoft|Sunsoft|1990
