3869AA|007 - Nightfire|007 : Nightfire||Sports,Shooter / 1st person,Shooter,|2||JV Games|Electronic Arts|2003
83082A|2 Games In One! - Marble Madness + Klax|2 Games in One! - Marble Madness + Klax|||||||
83083A|2 Games In One! - Paperboy + Rampage|2 Games in One! - Paperboy + Rampage|||||||
83084A|2 Games In One! - Spy Hunter + Super Sprint|2 Games in One! - Spy Hunter + Super Sprint|||||||
83085A|2 Great Games! - Pac-man World + Ms. Pac-man - Maze Madness|2 Great Games! : Pac-Man World + Ms. Pac-Man, Maze Madness|||||||
83093A|2 In 1 - Asterix And Obelix - Bash Them All! + Asterix And Obelix Xxl|2 in 1 - Asterix & Obelix - Bash Them All! + Aster|||||||
83095A|2 In 1 - V-rally 3 + Stuntman|2 in 1 - V-Rally 3 + Stuntman||Sports,|||||
83091A|2 In 1 Game Pack - Spider-man - Mysterio's Menace + X2 - Wolverine's Revenge|2 in 1 Game Pack - Spider-Man - Mysterio's Menace |||||||
83092A|2 In 1 Game Pack - Tony Hawk's Underground + Kelly Slater's Pro Surfer|2 in 1 Game Pack - Tony Hawk's Underground + Kelly|||||||
83086A|2 In 1 Game Pack - Shrek 2 And Shark Tale|2 in 1 Game Pack : Shrek 2 + Shark Tale|||||||
83088A|2 In 1 Game Pack - Spider-man And Spider-man 2|2 in 1 Game Pack : Spider-Man + Spider-Man 2|||||||
83097A|2 Jeux En 1 - Titeuf - Ze Gagmachine + Titeuf - Mega Compet|2 Jeux en 1 - Titeuf - Ze Gagmachine + Titeuf - Me|||||||
83099A|2-in-1 Fun Pack - Shrek 2 + Madagascar|2-in-1 Fun Pack - Shrek 2 + Madagascar|||||||
83100A|2-in-1 Fun Pack - Shrek 2 + Madagascar - Operation Penguin|2-in-1 Fun Pack - Shrek 2 + Madagascar - Operation|||||||
4634AA|Major League Baseball 2k7|2K Sports : Major League Baseball 2K7||Sports,|||Skyworks|2K Games|2007
83102A|3 Game Pack! - Candy Land + Chutes And Ladders + Original Memory Game|3 Game Pack! : Candy Land + Chutes and Ladders + Original Memory Game|||||||
83103A|3 Game Pack! - Ker Plunk! + Toss Across + Tip It|3 Game Pack! : Ker Plunk! + Toss Across + Tip It|||||||
